[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.003960s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003998s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000173s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000190s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000125s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000224s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000806s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000208s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000240s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000403s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.000454s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000318s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000354s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_template ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run LocationTemplate Behavior [ RunTime:0.000143s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_template ] --END-- [ RunTime:0.000180s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_parse ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ParseTemplate Behavior [ RunTime:0.005085s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005148s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Tag[ view_filter ] --START--
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ContentReplace Behavior [ RunTime:0.000196s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run TokenBuild Behavior [ RunTime:0.000190s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000110s ]
[ 2013-03-29T14:37:35+08:00 ] /weibo/admin.php/Index/copy | INFO: Run ShowRuntime Behavior [ RunTime:0.000203s ]
