[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '3' ) LIMIT 1   [ RunTime:0.000234s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '3' ) LIMIT 1   [ RunTime:0.000227s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_template ] --START--
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000378s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000426s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /Library/WebServer/Documents/weibo/Index/Lib/TagLib/TagLibHdtags.class.php on line 18 and defined TagLib.class.php 第 111 行.
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /Library/WebServer/Documents/weibo/Index/Lib/TagLib/TagLibHdtags.class.php on line 39 and defined TagLib.class.php 第 111 行.
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000339s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000182s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.000941s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000420s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000432s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT `username`,`face80` AS `face`,`follow`,`fans`,`weibo`,`uid` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000584s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000350s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | SQL: SELECT `uid`,`username`,`face50` AS `face`,COUNT(f.`follow`) AS `count` FROM `hd_follow` f LEFT JOIN `hd_userinfo` u ON f.`follow` = u.`uid` WHERE f.`fans` IN (2) AND f.`follow` NOT IN (2) AND f.`follow` <>1 GROUP BY f.`follow` ORDER BY `count` DESC LIMIT 4 [ RunTime:0.000411s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.035872s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035929s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000703s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000239s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000107s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000304s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001470s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_end ] --START--
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000436s ]
[ 2013-03-28T17:29:42+08:00 ] /weibo/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000503s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000241s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000290s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.002633s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000293s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.001173s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001320s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.000920s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT COUNT(*) AS tp_count FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','2') ) LIMIT 1   [ RunTime:0.000322s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('1','2') ) ORDER BY weibo.time DESC LIMIT 0,20   [ RunTime:0.000403s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '3' ) LIMIT 1   [ RunTime:0.000273s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '3' ) LIMIT 1   [ RunTime:0.000233s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_template ] --START--
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000256s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000295s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --START--
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /Library/WebServer/Documents/weibo/Index/Lib/TagLib/TagLibHdtags.class.php on line 18 and defined TagLib.class.php 第 111 行.
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in /Library/WebServer/Documents/weibo/Index/Lib/TagLib/TagLibHdtags.class.php on line 39 and defined TagLib.class.php 第 111 行.
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | NOTIC: [8] Undefined variable: tag TagLib.class.php 第 122 行.
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | NOTIC: [8] Undefined index:  TagLib.class.php 第 122 行.
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000519s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000491s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.001284s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000308s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '1' )  [ RunTime:0.000207s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT `username`,`face80` AS `face`,`follow`,`fans`,`weibo`,`uid` FROM `hd_userinfo` WHERE ( `uid` = '1' ) LIMIT 1   [ RunTime:0.000341s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000239s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | SQL: SELECT `uid`,`username`,`face50` AS `face`,COUNT(f.`follow`) AS `count` FROM `hd_follow` f LEFT JOIN `hd_userinfo` u ON f.`follow` = u.`uid` WHERE f.`fans` IN (2) AND f.`follow` NOT IN (2) AND f.`follow` <>1 GROUP BY f.`follow` ORDER BY `count` DESC LIMIT 4 [ RunTime:0.000346s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.043289s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043339s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --START--
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000967s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000275s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000123s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000309s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001814s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_end ] --START--
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000324s ]
[ 2013-03-28T17:30:00+08:00 ] /weibo/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000387s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --START--
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000412s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000482s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.000933s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '1' )  [ RunTime:0.000302s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.001596s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.001897s ]
[ 2013-03-28T17:30:12+08:00 ] /weibo/index.php | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.001065s ]
