[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000234s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000267s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000142s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000178s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.004580s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004635s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000207s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000213s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000098s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000228s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000873s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000229s ]
[ 2013-03-04T12:03:39+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000262s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.000553s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.000631s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000255s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000292s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.000162s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.000201s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.004532s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004603s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.000267s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.000307s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000178s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.000285s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001180s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000224s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.000258s ]
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/Css/regis.css | ERR: (ThinkException) 非法操作Css
[ 2013-03-04T12:04:15+08:00 ] /weibo/index.php/Login/Images/bottom_logo.gif | ERR: (ThinkException) 非法操作Images
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --START--
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run CheckRoute Behavior [ RunTime:0.000535s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ route_check ] --END-- [ RunTime:0.000589s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --START--
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000278s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000327s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --START--
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.000161s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.000202s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.003505s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.003544s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.000169s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.000190s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000096s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.000221s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000764s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.000224s ]
[ 2013-03-04T12:04:39+08:00 ] /weibo/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.000254s ]
